Date,Site,Station Depth (m),Sample Depth (m),Sample Depth (category),Local Time (Eastern Time Zone),Latitude (decimal deg),Longitude (decimal deg),Wind speed (knots),Wave Height (ft),Sky,Secchi Depth (m),CTD Temperature (C),CTD Specific Conductivity (uS/cm),CTD Beam Attenuation (m-1),CTD Tramission (%),CTD Dissolved Oxygen (mg/L),CTD Photosynthetically Active Radiation (uE/m2/s),Turbidity (NTU),Particulate Microcystin (ug/L),Dissolved Microcystin (ug/L),Extracted Phycocyanin (ug/L),Extracted Chlorophyll a (ug/L),Total Phosphorus (ug P/L),Total Dissolved Phosphorus (ug P/L),Soluble Reactive Phosphorus (ug P/L),Ammonia (ug N/L),Nitrate + Nitrite (mg N/L),Particulate Organic Carbon (mg/L),Particulate Organic Nitrogen (mg/L),Colored Dissolved Organic Material absorbance (m-1) at 400nm ,Total Suspended Solids (mg/L),Volatile Suspended Solids (mg/L)
4/30/2019,WE2,5.9,0.75,Surface,11:41,41.7634,-83.3302,,,cloudy,0.1,11.2,306.5,34.2,0,10.5,0,55.1,,,1.24,7.41,330.67,81.72,77.04,54.25,2.55,5.53,0.77,4.48,172.4,20.6
4/30/2019,WE2,,5.5,Bottom,,,,,,,,11.1,307.5,33.5,0,9,0,,,,1.27,7.61,,,,,,,,,,
4/30/2019,WE4,8.95,0.75,Surface,9:57,41.8275,-83.1931,,,cloudy,0.75,8.9,267.4,7,17.4,9.8,167.23,41.7,,,0.13,4.28,19.94,6.48,5.05,62.4,0.446,0.81,0.08,0.43,8.96,1.48
4/30/2019,WE8,5.19,0.75,Surface,9:01,41.8343,-83.3594,,,cloudy,0.25,11,372.9,20,0.7,11.6,20.6,23.5,,,0.29,8.32,86.72,23.51,19.12,12.73,1.817,2.66,0.27,1.4,38.37,4.53
4/30/2019,WE8,,4.6,Bottom,,,,,,,,11,371.9,19.4,0.8,9.9,0,,,,0.38,8,,,,,,,,,,
4/30/2019,WE12,7.36,0.75,Surface,10:55,41.7045,-83.2511,,,cloudy,0.1,10.9,352,32.5,0,9,0.21,73.2,,,1.08,4.92,260.84,96.74,95.15,80.3,3.911,6.12,0.77,5.05,107.2,14.6
4/30/2019,WE12,,6.7,Bottom,,,,,,,,10.9,353.2,33.6,0,9.6,0,,,,1.28,5.1,,,,,,,,,,
5/21/2019,WE2,6.11,0.75,Surface,13:33,41.7625,-83.3287,7,,cloudy,0.3,15.5,411.3,15.9,1.9,8.1,96.94,37.5,<0.1,<0.1,0.4,4.17,118.23,74.06,68.36,55.36,2.799,1.2,0.22,4.26,33.4,2.35
5/21/2019,WE2,,5.2,Bottom,,,,,,,,15.1,427.9,8.6,11.8,8.6,0,,<0.1,<0.1,0.29,2.71,,,,,,,,,,
5/21/2019,WE4,9.08,0.75,Surface,9:41,41.8265,-83.1932,0.97,,partly sunny,2.25,12,234.5,1.5,68,10.3,820.52,1.8,<0.1,<0.1,0.18,3.79,7.91,3.97,2.22,14.31,0.49,0.4,0.12,0.23,4,
5/21/2019,WE6,3.38,0.75,Surface,12:38,41.7061,-83.3844,8.94,,cloudy,0.1,17.6,263.1,34.8,0,6.5,0.16,186,<0.1,<0.1,2.29,4.54,299.21,94.81,74.7,78.91,1.672,4.58,0.59,5.22,153,12.28
5/21/2019,WE8,5.51,0.75,Surface,8:53,41.8342,-83.3583,0.97,,cloudy,1,15.7,414.3,4.3,34.7,8.8,670.02,7.36,<0.1,<0.1,0.4,9.66,45.74,21.69,14.11,37.37,1.665,1.04,0.14,2.95,10.4,1.83
5/21/2019,WE8,,4.8,Bottom,,,,,,,,15.7,413.6,3.9,37.5,9,103.32,,<0.1,<0.1,0.18,1.93,,,,,,,,,,
5/21/2019,WE9,3.31,0.75,Surface,13:03,41.7179,-83.4223,7.97,,cloudy,0.1,17.7,272.7,33.7,0,6.5,0,244,<0.1,<0.1,2.51,3.79,380.88,107.2,78.93,71.81,2.209,6.7,0.96,6.04,206.29,18.76
5/21/2019,WE12,7.07,0.75,Surface,11:45,41.7019,-83.2526,8.94,,cloudy,0.1,16.5,327.1,35,0,8.6,0.59,150,<0.1,0.18,1.28,5.72,232.54,81.14,80.21,68.8,2.238,1.69,0.32,4.68,135,13.06
5/21/2019,WE12,,6.3,Bottom,,,,,,,,15,365.3,36.4,0,8.2,0,,<0.1,0.17,0.39,5.61,,,,,,,,,,
5/21/2019,WE13,9.49,0.75,Surface,10:34,41.744,-83.1359,5.05,,partly cloudy,1,13.1,309.7,4.6,31.7,9.2,399.04,9.31,<0.1,<0.1,0.2,6.89,33.96,13.8,11.28,51.4,0.896,0.51,0.16,1.02,11.22,6.26
5/21/2019,WE13,,8.7,Bottom,,,,,,,,12.8,310,5.4,26.1,9.7,0,,<0.1,<0.1,0.2,4.59,,,,,,,,,,
5/21/2019,WE16,6.51,0.75,Surface,11:11,41.6592,-83.144,6.03,,cloudy,6.5,13.8,344.1,8,13.6,8.7,109.05,12.4,<0.1,<0.1,0.27,1.71,94.19,63.19,50.83,30.33,2.353,0.42,0.15,3.27,18.78,1.03
6/3/2019,WE2,6.06,0.75,Surface,13:43,41.7626,-83.329,4.4,0.68,sunny,0.75,19.3,284.7,5.5,25.4,9.9,870.13,9.27,<0.1,<0.1,1.94,22.3,42.29,8.03,6.2,23.82,0.958,1.34,0.21,1.38,10.37,3.11
6/3/2019,WE2,,5.2,Bottom,,,,,,,,17.9,320.1,7,17.4,9.3,1.3,,<0.1,<0.1,0.29,22.96,,,,,,,,,,
6/3/2019,WE4,8.94,0.75,Surface,9:22,41.8296,-83.1946,5.6,2.4,sunny,2.5,16.2,260.3,1.6,67.9,8.6,1164.55,1.64,<0.1,<0.1,0.16,3.63,9.74,8.39,2.86,47.04,0.546,0.38,0.12,0.42,3.02,0.57
6/3/2019,WE6,3.36,0.75,Surface,12:44,41.7055,-83.3863,2.93,0.32,sunny,<0.1,21.3,328.1,44.8,0,7.2,2.97,106,<0.1,<0.1,1.03,5.12,267.98,129.34,128.5,98.83,2.308,2.85,0.5,4.89,88.3,7.33
6/3/2019,WE8,5.14,0.75,Surface,8:22,41.8366,-83.3569,8.25,2.16,sunny,0.5,19.5,382,7.7,14.6,8.2,133.45,16.4,<0.1,<0.1,0.33,16.14,74.23,32,20.8,81.45,2.437,1.28,0.33,3.49,13.2,1.09
6/3/2019,WE8,,4.7,Bottom,,,,,,,,19.5,384.4,7.2,16.4,8.4,0,,<0.1,<0.1,0.28,14.67,,,,,,,,,,
6/3/2019,WE9,3,0.75,Surface,13:08,41.7176,-83.4211,2.18,0.21,sunny,0.1,20.6,292.2,46.4,0,5.9,0.22,151,<0.1,0.16,2.06,4.81,340.05,121.84,99.56,79.74,2.396,4.52,0.88,5.82,145.8,13.26
6/3/2019,WE12,7.05,0.75,Surface,11:43,41.7036,-83.2554,0.89,0.91,sunny,0.5,19.1,349.8,11.3,6,8.6,192.83,24.4,<0.1,<0.1,0.68,21.67,95.11,40.76,30.4,35.21,1.945,1.33,0.08,2.5,20.87,3.55
6/3/2019,WE12,,6.3,Bottom,,,,,,,,18.5,356.8,11.9,5.1,8.1,0,,<0.1,<0.1,0.44,15.88,,,,,,,,,,
6/3/2019,WE13,9.43,0.75,Surface,10:25,41.7447,-83.1355,3.96,2.02,sunny,1.25,16.2,250,3.7,41.7,8.8,1184.64,4.3,<0.1,<0.1,0.15,3.44,12.13,4.23,2.69,36.4,0.491,0.49,0.05,0.34,6.07,1.07
6/3/2019,WE13,,8.7,Bottom,,,,,,,,16.1,249.9,3.6,40.8,9.1,4.93,,<0.1,<0.1,0.22,3.64,,,,,,,,,,
6/3/2019,WE16,6.38,0.75,Surface,11:04,41.6584,-83.1465,2.5,1.26,sunny,0.5,18.8,354.1,7.1,17.1,7.4,318.29,20.8,<0.1,<0.1,0.21,2.99,97.37,59.92,39.1,88.58,1.875,0.55,0.06,3.28,14.83,1.51
6/17/2019,WE2,5.84,0.75,Surface,12:32,41.7633,-83.33,3.32,1.36,cloudy,0.25,18.9,364.3,19.4,0.8,9.5,35.27,45.3,<0.1,<0.1,0.39,2.76,161.74,103.01,84.03,52.7,2.313,1.05,0.17,4.19,37.31,3.61
6/17/2019,WE2,,5.2,Bottom,,,,,,,,18.7,367.1,21.5,0.5,7.9,0,,<0.1,<0.1,0.49,1.72,,,,,,,,,,
6/17/2019,WE4,7.47,0.75,Surface,9:01,41.8274,-83.1941,6.5,1.46,cloudy,1.75,17.7,246.1,2.2,57.6,8.5,208.23,3.26,<0.1,<0.1,0.08,2.59,14.84,3.23,2.79,36.41,0.575,0.32,0.05,0.33,4.34,0.43
6/17/2019,WE6,3.41,0.75,Surface,11:48,41.7053,-83.385,4.1,0.67,cloudy,0.2,18.6,346.1,33.7,0,7.7,6.24,76.3,<0.1,<0.1,0.44,2.89,213.8,108.91,93.46,28.14,2.268,1.67,0.19,4.13,64.6,4.97
6/17/2019,WE8,5.52,0.75,Surface,8:21,41.8351,-83.3578,4.96,1.53,cloudy,0.5,18.7,354.1,10.1,8.2,9.3,23.23,19.3,<0.1,<0.1,0.17,1.33,114.68,72.3,56.19,70.86,1.877,0.7,0.08,2.98,18.44,2.43
6/17/2019,WE8,,4.7,Bottom,,,,,,,,18.7,354,8.9,10.8,8,0,,<0.1,<0.1,0.62,4.4,,,,,,,,,,
6/17/2019,WE9,3.06,0.75,Surface,12:05,41.7178,-83.422,3.84,0.65,cloudy,0.1,19.4,462.6,35.9,0,8.2,1.72,79.4,0.27,<0.1,7.47,18.01,275.39,111.71,83.03,143.6,2.648,2.88,0.38,5.15,76.04,8.69
6/17/2019,WE12,7.23,0.75,Surface,11:00,41.7027,-83.2525,3.03,1.18,cloudy,0.75,18.8,293.1,13.3,3.6,8.3,85.45,29.7,<0.1,<0.1,0.28,1.73,129.24,73.5,58.02,45.59,1.857,0.88,0.13,3.21,26.44,2.89
6/17/2019,WE12,,6.3,Bottom,,,,,,,,18.8,353.5,13.7,3.3,8,0,,<0.1,<0.1,0.69,2.17,,,,,,,,,,
6/17/2019,WE13,9.37,0.75,Surface,9:54,41.7443,-83.1369,4.74,1.38,cloudy,1,17.7,238.3,3.7,39.5,8.8,445.29,5.75,<0.1,<0.1,0.13,3.04,20.25,4.95,2.71,33.35,0.574,0.44,0.07,0.36,6.98,1.13
6/17/2019,WE13,,8.7,Bottom,,,,,,,,17.6,238.6,4.1,36.1,8.5,0.59,,<0.1,<0.1,0.24,2.57,,,,,,,,,,
6/17/2019,WE16,6.59,0.75,Surface,10:28,41.6594,-83.1446,4.15,1.3,cloudy,0.75,18.8,335.1,4.9,29.3,7.9,176.68,12.7,<0.1,<0.1,0.12,1.09,101.28,68.37,62.81,80.49,1.675,0.37,0.06,2.97,4.26,0.87
7/1/2019,WE2,6,0.75,Surface,12:52,41.7625,-83.3293,9.69,0.54,sunny,1,25.1,334.3,3.2,45.2,9.8,701.83,5.83,<0.1,<0.1,0.11,43.02,67.33,14.48,3.59,3.91,1.385,1.94,0.29,2.68,8.02,4.41
7/1/2019,WE2,,5.4,Bottom,,,,,,,,20.7,337.7,4,36.5,5.2,2.64,,<0.1,<0.1,0.23,,,,,,,,,,,
7/1/2019,WE4,9.14,0.75,Surface,9:12,41.8259,-83.1925,8.14,0.97,sunny,1.25,24.4,331,2.9,48.9,10.2,411.3,3.54,<0.1,<0.1,2.84,42.01,37.96,6.86,1.38,7.32,1.05,1.62,0.22,1.91,7.22,4.69
7/1/2019,WE6,3.32,0.75,Surface,12:01,41.7055,-83.3853,7.22,0.34,sunny,0.5,26.3,376.9,5.6,24.5,7.1,342.95,15.8,<0.1,<0.1,5.74,19.99,199.05,112,105.31,24.88,3.391,1.01,0.19,4.99,10.98,2.93
7/1/2019,WE8,5.58,0.75,Surface,8:19,41.8332,-83.3581,6.49,0.83,sunny,1,24.7,374.5,3,47.7,8.4,156.93,7.81,<0.1,<0.1,1.05,33.76,108.32,50.25,44.09,4.01,2.019,0.83,0.16,3.44,6.38,2.13
7/1/2019,WE8,,4.9,Bottom,,,,,,,,24.7,375.5,2.9,47.9,9,0.41,,<0.1,<0.1,0.79,,,,,,,,,,,
7/1/2019,WE9,3.07,0.75,Surface,12:21,41.7179,-83.4226,8.22,0.32,sunny,0.375,26.6,387.5,15.7,2,5.8,104.29,36.1,<0.1,<0.1,6.07,28.91,281.57,131.29,128.37,47.48,3.591,2.05,0.41,5.9,28.7,4.54
7/1/2019,WE12,6.9,0.75,Surface,11:16,41.7034,-83.2545,5.29,0.29,sunny,1.75,25,320.1,2.4,54.4,9.9,774.33,4.28,<0.1,<0.1,1.75,36.06,38.66,8.89,1.59,3.61,1.096,1.37,0.17,2.22,5.74,2.87
7/1/2019,WE12,,6.3,Bottom,,,,,,,,20.4,308.5,6.9,17.8,5,1.91,,<0.1,<0.1,0.17,,,,,,,,,,,
7/1/2019,WE13,9.44,0.75,Surface,10:03,41.7415,-83.1375,4.26,0.79,sunny,3,23.9,271.8,1.3,72.1,8.6,959.12,1.65,<0.1,<0.1,0.42,10.24,18.24,3.4,2.12,10.45,0.587,0.52,0.09,0.76,3.3,1.71
7/1/2019,WE13,,8.6,Bottom,,,,,,,,19.2,249.2,6.9,18.5,5.3,16.02,,<0.1,<0.1,0.12,,,,,,,,,,,
7/1/2019,WE16,6.5,0.75,Surface,10:41,41.6582,-83.1437,3.26,0.5,sunny,3,24.6,308,1.1,75.3,8.8,1065.53,1.62,<0.1,<0.1,0.15,8.31,19.42,4.88,0.92,15.36,0.9,0.63,0.07,1.62,1.95,1.41
7/8/2019,WE2,6.24,0.75,Surface,13:04,41.7628,-83.3287,9.11,1.64,partly sunny,0.9,25.3,327.1,3.5,42.1,6.1,715.39,8.04,<0.1,<0.1,11.89,28.35,80.48,13.5,5.69,46.54,1.168,1.05,0.16,2.84,7.71,2.47
7/8/2019,WE2,,5.5,Bottom,,,,,,,,25.1,326.7,4.1,36.3,6.4,1.38,,<0.1,<0.1,3.59,33.88,,,,,,,,,,
7/8/2019,WE4,8.91,0.75,Surface,9:16,41.8267,-83.1936,10.26,1.82,partly sunny,3.75,23.1,237.9,1.7,65.7,6.3,1233.71,1.41,<0.1,<0.1,0.07,3.04,16.68,1.68,0.88,44.43,0.339,0.3,0.06,0.31,1.22,0.89
7/8/2019,WE6,3.55,0.75,Surface,12:13,41.7054,-83.3838,10.67,0.97,partly sunny,0.25,25.8,401,13.2,3.7,5.7,135.33,33.7,0.12,<0.1,4.64,31.56,297.21,106.03,74.15,156.4,2.662,1.35,0.28,4.73,28.48,3.89
7/8/2019,WE8,4.99,0.75,Surface,8:26,41.8357,-83.359,9.72,1.64,partly cloudy,1.25,25.5,326.9,2.8,49.8,6.3,332.19,8.39,0.12,<0.1,2.51,11.18,81.16,19.75,10.67,105,1.012,0.69,0.14,2.01,7.92,1.75
7/8/2019,WE8,,4.6,Bottom,,,,,,,,25.6,327.5,2.7,51.1,5.8,2.88,,0.21,<0.1,1.28,10.85,,,,,,,,,,
7/8/2019,WE9,3.28,0.75,Surface,12:33,41.7179,-83.4222,10.28,0.92,sunny,0.3,26.4,442,13.9,3.1,4.2,179.47,32.5,<0.1,<0.1,1.7,32.08,284.28,93.68,59.81,297.12,2.148,1.53,0.28,4.6,29.6,4.01
7/8/2019,WE12,7.25,0.75,Surface,11:31,41.7043,-83.2526,10.84,1.94,partly sunny,0.7,25.2,341.2,6.1,23.8,6.7,480.01,11.5,<0.1,<0.1,3.04,25.88,106.01,20.69,8.56,55.2,1.542,1.01,0.22,2.92,12.64,2.16
7/8/2019,WE12,,6.5,Bottom,,,,,,,,25.2,341.2,5,28.5,6.1,23.46,,<0.1,<0.1,2.75,28.13,,,,,,,,,,
7/8/2019,WE13,9.53,0.75,Surface,9:55,41.7449,-83.1379,10.9,1.76,partly cloudy,2,24.8,316.9,2.8,56.7,6.1,800.72,2.26,<0.1,<0.1,5.73,8.61,35.4,5.85,3.31,52.15,0.97,0.46,0.12,1.75,2.54,1.47
7/8/2019,WE13,,8.7,Bottom,,,,,,,,20.8,324.3,6.7,19,1.1,1.75,,<0.1,<0.1,2.26,6.63,,,,,,,,,,
7/8/2019,WE16,6.51,0.75,Surface,10:28,41.6594,-83.145,12.15,1.84,partly sunny,1,25.3,303.1,5.3,26.9,5.8,598.81,8.53,<0.1,<0.1,1.06,14.92,74.4,5.8,4.05,32.11,0.788,0.85,0.15,1.21,11.6,1.51
7/15/2019,WE2,5.73,0.75,Surface,13:05,41.7621,-83.33,9.68,0.8,sunny,1,26.7,330.8,2.8,49.3,6.4,665.5,8.21,0.38,0.2,94.07,35.15,56.16,12.83,7.15,16.71,1.214,2.37,0.43,2.22,,
7/15/2019,WE2,,4.9,Bottom,,,,,,,,25.7,320.3,2.3,56.3,6.4,5.89,,0.11,0.12,7.12,6.13,,,,,,,,,,
7/15/2019,WE4,9.02,0.75,Surface,9:11,41.8258,-83.1951,6.47,0.93,sunny,2.75,24.5,241.8,1.4,70.4,6.5,1084.68,0.96,<0.1,<0.1,0.35,6.7,9.49,2.08,1.19,3.66,0.345,0.46,0.09,0.28,1.62,0.8
7/15/2019,WE6,3.4,0.75,Surface,12:08,41.7052,-83.3854,7.29,0.3,sunny,1,28.1,408.9,4.5,32.7,8.4,419.71,14.8,1.17,0.2,160.84,88.92,129.68,32.67,25.12,6.42,1.894,4.56,0.86,4.12,13.43,9.41
7/15/2019,WE8,5.64,0.75,Surface,8:25,41.8333,-83.3585,6.32,0.74,sunny,1.25,26.1,337.6,2.4,55,6.2,247.21,5.32,0.29,0.2,77.38,26.39,51.92,17.17,11.4,22.84,1.192,1.49,0.34,3.43,5.5,4.08
7/15/2019,WE8,,4.8,Bottom,,,,,,,,26.1,339.6,1.9,62.3,6.8,1.09,,0.25,0.15,34.91,27.37,,,,,,,,,,
7/15/2019,WE9,3.03,0.75,Surface,12:33,41.7176,-83.423,8.8,0.41,sunny,0.5,27.6,445.8,8,13.7,6.7,356.14,16,<0.1,<0.1,37.34,36.51,104.14,47.74,36.33,36.2,1.884,1.94,0.33,4.01,15.5,5.31
7/15/2019,WE12,7.2,0.75,Surface,11:19,41.7035,-83.2537,5.36,0.54,sunny,1.5,26.2,319.7,2.5,54,6.8,784.7,5.77,0.29,<0.1,50.57,28.86,36,9.83,4.28,15.72,1.042,1.6,0.25,1.93,5.97,4.18
7/15/2019,WE12,,6.4,Bottom,,,,,,,,25.3,299.9,4.5,35.2,5.7,2.79,,<0.1,0.1,0.39,3.5,,,,,,,,,,
7/15/2019,WE13,9.57,0.75,Surface,10:02,41.7425,-83.136,7.26,0.88,sunny,3,25.6,277.7,1.6,68.6,6.4,1145.42,1.65,<0.1,<0.1,9.4,8.03,16.76,3.78,3.16,16.23,0.611,0.59,0.12,0.93,2.1,1.42
7/15/2019,WE13,,8.6,Bottom,,,,,,,,23.1,278.9,1.7,66,4.1,15.19,,<0.1,<0.1,0.48,3.81,,,,,,,,,,
7/15/2019,WE16,6.67,0.75,Surface,10:42,41.6592,-83.1435,5.91,0.59,sunny,2.25,26.1,303.6,1.5,68.3,5.7,979.28,3.54,<0.1,<0.1,6.11,7.92,26.75,8.94,6.28,40.32,0.814,0.6,0.1,1.19,2.27,0.71
7/22/2019,WE2,6.1,0.75,Surface,13:20,41.763,-83.3289,7.52,1.32,partly sunny,0.5,26.7,331,5.1,27.9,7,158.83,23.1,10.88,<0.1,220.74,143.23,130.08,13.19,,,,6.67,1.27,2.01,21.56,14.28
7/22/2019,WE2,,5.1,Bottom,,,,,,,,26.5,323.2,4.3,34.1,6.6,0.07,,0.78,<0.1,15.52,7.66,,,,,,,,,,
7/22/2019,WE4,8.93,0.75,Surface,9:23,41.8311,-83.195,13.67,2.6,partly cloudy,1.5,25.8,270.9,1.9,63,6.1,750.79,4.33,1.7,<0.1,54.54,18.4,29.96,3.88,,,,1.51,0.3,0.88,3.92,3.41
7/22/2019,WE6,3.26,0.75,Surface,12:25,41.7051,-83.3865,7.06,0.98,mostly sunny,0.5,27.1,445.9,9,10.9,6.6,122.84,25.8,11.41,<0.1,211.41,97.5,138.13,48.49,,,,4.28,0.77,3.39,22.96,9.69
7/22/2019,WE8,5.47,0.75,Surface,8:32,41.8354,-83.3584,14.28,2.86,partly cloudy,0.75,26.4,332,5.1,28.7,6.7,94.41,19.3,5.18,<0.1,94.25,49.79,54.98,12.27,,,,2,0.34,2.21,13.76,4.41
7/22/2019,WE8,,4.7,Bottom,,,,,,,,26.4,332,4.1,35.6,7.1,3.72,,5.06,<0.1,60.56,30.16,,,,,,,,,,
7/22/2019,WE9,3.29,0.75,Surface,12:48,41.7177,-83.4227,8.3,0.89,partly sunny,0.25,27.7,475.8,17.1,1.4,4.3,72.73,27.3,1.57,<0.1,22.75,71.27,188.34,69.98,,,,2.97,0.54,4.44,30.92,5.89
7/22/2019,WE12,7.35,0.75,Surface,11:26,41.706,-83.2518,9.88,1.93,partly sunny,0.75,26.1,262.2,6.5,19.5,5.9,355.59,13.3,0.67,<0.1,7,13.98,34.32,4.81,,,,1.19,0.18,0.9,14.96,2.09
7/22/2019,WE12,,6.6,Bottom,,,,,,,,26.1,279.7,6.3,20.9,6.3,0,,0.48,<0.1,3.03,12.27,,,,,,,,,,
7/22/2019,WE13,9.62,0.75,Surface,10:10,41.7467,-83.1394,12.02,2.66,partly cloudy,2.5,25.8,255.5,2,62.7,6,695.91,2.73,0.36,<0.1,11.14,7.64,12.88,2.04,,,,0.62,0.11,0.56,2.46,0.95
7/22/2019,WE13,,8.7,Bottom,,,,,,,,25.7,256.3,1.6,66.8,6.3,11.75,,0.25,<0.1,5.9,6.9,,,,,,,,,,
7/22/2019,WE16,6.64,0.75,Surface,10:50,41.6613,-83.1449,12.29,2.32,cloudy,1.25,26,258.4,2.9,48.4,6.2,284.63,6.21,0.22,<0.1,2.72,6.82,22.18,6.97,,,,0.57,0.11,0.55,6.3,1.59
7/29/2019,WE2,5.57,0.75,Surface,13:09,41.7602,-83.3336,14.45,1.7,partly cloudy,0.5,25.8,352.5,6.6,19.2,6.5,153.07,24.3,8.94,0.25,215.85,154.05,97.57,8.53,5.58,3.07,0.702,6.56,1.26,2.7,24.12,16.56
7/29/2019,WE2,,4.7,Bottom,,,,,,,,25.8,349.8,6.4,20.3,9.4,0,,3.14,0.36,369.76,130.16,,,,,,,,,,
7/29/2019,WE4,9.09,0.75,Surface,9:10,41.8261,-83.1946,11.06,1.24,sunny,1,25.2,260,2.9,48.2,7.5,143.04,9.52,4.97,0.22,54.25,52.36,32.92,3.06,6.13,3.56,0.211,2.71,0.5,0.85,8.8,5.72
7/29/2019,WE6,3.17,0.75,Surface,12:20,41.7049,-83.3869,15.43,0.69,partly cloudy,0.75,25.9,383.3,4.3,34.4,7.6,97.91,15.8,7.73,0.15,100.85,88.48,122.69,42.76,39.1,15.78,1.838,4.28,0.79,4.26,13.92,7.64
7/29/2019,WE8,5.23,0.75,Surface,8:23,41.8328,-83.3625,11.54,0.89,sunny,1,25.4,273.4,3.2,45.3,6.8,96.54,9.3,4.82,0.11,65.65,42.9,34.48,4.53,5.64,5.35,0.235,2.67,0.45,1.23,9.48,4.72
7/29/2019,WE8,,4.5,Bottom,,,,,,,,25.4,280.1,3.1,45.7,7.8,0.93,,8.89,0.15,73.39,45.09,,,,,,,,,,
7/29/2019,WE9,2.93,0.75,Surface,12:39,41.7173,-83.4248,14.42,0.52,partly sunny,0.1,25.9,399.9,31.8,0,6.9,16.15,49,2.66,0.03,48.86,74.3,186.52,56.28,52.66,35.37,3.113,4.47,0.9,4.41,52.76,8.36
7/29/2019,WE12,6.95,0.75,Surface,11:24,41.7028,-83.2563,14.43,1.26,sunny,0.75,25.5,279.5,5.7,23.8,7.2,214.11,12.7,10.98,0.05,44.69,49.63,39.13,4.87,6.02,2.33,0.287,3.24,0.59,1.2,12.35,5.05
7/29/2019,WE12,,6.1,Bottom,,,,,,,,25.4,282.1,5.4,26,7.8,0,,4.66,0.08,28.13,33.15,,,,,,,,,,
7/29/2019,WE13,9.27,0.75,Surface,10:09,41.7421,-83.1417,12.88,1.31,sunny,1.5,25.3,237.8,3.7,41.1,6.7,698.17,6.58,1.59,<0.1,10.84,20.22,18.25,1.59,5.4,2.06,0.253,1.75,0.28,0.35,5.56,3.3
7/29/2019,WE13,,8.4,Bottom,,,,,,,,25.2,241.1,2.6,52.7,7,1.33,,1.84,<0.1,3.77,16.97,,,,,,,,,,
7/29/2019,WE16,6.34,0.75,Surface,10:47,41.6582,-83.1455,13.16,1.07,sunny,1.5,25.4,280.4,2.7,51.2,6.5,420.47,7.4,1.27,0.03,26.23,30.36,25.55,3.6,3.52,4.05,0.406,1.24,0.22,0.87,6.53,3.33
8/5/2019,WE2,5.78,0.75,Surface,12:59,41.7624,-83.3306,4.39,0.2,sunny,0.75,26.2,276.4,4.2,34.7,8.7,381.91,19.8,7.95,0.2,25.74,95.75,55.94,6.73,1.96,6.12,0.211,6.9,1.06,1.57,18.8,14.61
